Cross_reference_SUPFAM	Cross_reference_PANTHER	Loop_Length	KARI_Class	EC_number
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	12	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	6	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	4	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	6	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	12	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	No_binding_positions	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	4	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	6	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	2	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	4	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	12	Class_II	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	7	Class_I	1.1.1.86
SSF48179;SSF51735;	PTHR21371;	4	Class_I	1.1.1.86
