accession	xref_supfam	xref_panther	KARI_Class	ec
P06168	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
P9WKJ7	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q02138	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
C8WR67	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
D0WGK0	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
P29107	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
C1DFH7	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q18GT4	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q9HVA2	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q9RU74	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q9UWX9	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q9Z565	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
O33114	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
P38674	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
P78827	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q57179	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q58938	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
Q81G13	SSF48179;SSF51735;	PTHR21371;	Class_1	1.1.1.86
